Имя,Год,Страна,Сахар,Цена,Рейтинг,Количество отзывов,Наличие отзывов,Ценовая категория,Цена/Рейтинг
Вино Chateau Figeac Premier Grand Cru Classe (Saint-Emilion),2011,Франция,Сухое,37990.0,4.5,0.0,0,Дорогое,0.20749665327978584
"Вино Alzero, Giuseppe Quintarelli",2011,Италия,Полусухое,79990.0,0.0,0.0,0,Дорогое,
Вино Chateau Belair Monange,2011,Франция,Сухое,23490.0,0.0,0.0,0,Дорогое,
"Вино Monleale, Vigneti Massa",2011,Италия,Сухое,5690.0,5.0,1.0,1,Дешевое,0.02459839357429719
Вино Chateau Palmer,2011,Франция,Сухое,72990.0,5.0,0.0,0,Дорогое,0.36244979919678716
Вино Chateau Suduiraut,2011,Франция,Сладкое,10990.0,5.0,0.0,0,Среднее,0.05120481927710843
Вино Chateau Grand-Puy-Lacoste,2011,Франция,Сухое,12490.0,5.0,1.0,1,Среднее,0.05873493975903614
"Вино L’Hermitage Rouge, Jean-Louis Chave",2011,Франция,Сухое,124990.0,0.0,0.0,0,Дорогое,
Вино Chateau d'Issan,2011,Франция,Сухое,13790.0,0.0,0.0,0,Среднее,
Вино Chateau Calon Segur,2011,Франция,Сухое,31490.0,5.0,1.0,1,Дорогое,0.15411646586345382
"Вино Pingus, Dominio de Pingus",2011,Испания,Сухое,189990.0,5.0,0.0,0,Дорогое,0.9497991967871486
"Вино L'Ermita Velles Vinyes, Alvaro Palacios",2011,Испания,Сухое,184990.0,5.0,1.0,1,Дорогое,0.924698795180723
"Вино Pertichetta, Vigneti Massa",2012,Италия,Сухое,5690.0,5.0,3.0,1,Дешевое,0.02459839357429719
"Вино Les Allees de Cantemerle, Chateau Cantemerle",2012,Франция,Сухое,3490.0,3.7,3.0,1,Дешевое,0.0183165092803647
Вино Chateau Talbot,2012,Франция,Сухое,17990.0,5.0,1.0,1,Дорогое,0.08634538152610442
Вино Chateau Calon Segur,2012,Франция,Сухое,33490.0,5.0,1.0,1,Дорогое,0.1641566265060241
"Вино Barolo Riserva Monprivato Ca d'Morissio, Giuseppe Mascarello",2012,Италия,Сухое,139990.0,0.0,0.0,0,Дорогое,
Вино Chateau Montrose,2012,Франция,Сухое,22990.0,0.0,0.0,0,Дорогое,
Вино Chateau Rauzan-Segla,2012,Франция,Сухое,21490.0,5.0,0.0,0,Дорогое,0.10391566265060241
Вино Chateau d'Armailhac,2012,Франция,Сухое,14290.0,5.0,0.0,0,Среднее,0.0677710843373494
Вино Chateau Rauzan-Segla,2012,Франция,Сухое,21490.0,5.0,0.0,0,Дорогое,0.10391566265060241
"Вино Galatrona, Petrolo",2012,Италия,Сухое,27990.0,5.0,3.0,1,Дорогое,0.13654618473895583
Вино Chateau Cos d'Estournel Rouge,2012,Франция,Сухое,37990.0,5.0,1.0,1,Дорогое,0.18674698795180725
"Вино Savigny-les-Beaune aux Grands Liards, Simon Bize & Fils",2012,Франция,Сухое,10490.0,0.0,0.0,0,Среднее,
"Вино Ribolla, Gravner",2012,Италия,Сухое,18610.0,5.0,1.0,1,Дорогое,0.0894578313253012
"Вино La Dame de Montrose, Chateau Montrose",2012,Франция,Сухое,7990.0,0.0,0.0,0,Среднее,
Вино Chateau Cantemerle,2012,Франция,Сухое,6190.0,4.3,3.0,1,Среднее,0.03152143457551135
Вино Chateau du Tertre,2012,Франция,Сухое,10990.0,5.0,0.0,0,Среднее,0.05120481927710843
Вино Chateau Ducru-Beaucaillou ,2012,Франция,Сухое,39490.0,5.0,0.0,0,Дорогое,0.19427710843373494
"Вино Savigny-les-Beaune Premier Cru Hospices de Beaune  Cuvee Forneret, Domaine Agnes Paquet",2012,Франция,Сухое,29990.0,0.0,0.0,0,Дорогое,
Вино Chateau Beychevelle,2012,Франция,Сухое,25990.0,0.0,0.0,0,Дорогое,
Вино Chateau Leoville Las Cases,2012,Франция,Сухое,54490.0,0.0,0.0,0,Дорогое,
"Вино La Dame de Montrose, Chateau Montrose",2012,Франция,Сухое,7990.0,0.0,0.0,0,Среднее,
Вино Chateau Montrose,2012,Франция,Сухое,22990.0,0.0,0.0,0,Дорогое,
Вино Chateau Pichon Baron,2012,Франция,Сухое,37990.0,0.0,0.0,0,Дорогое,
Вино Chateau du Tertre,2012,Франция,Сухое,10990.0,5.0,0.0,0,Среднее,0.05120481927710843
Вино Chateau Troplong Mondot,2012,Франция,Сухое,23490.0,0.0,0.0,0,Дорогое,
Вино Chateau La Fleur-Petrus,2012,Франция,Сухое,52490.0,5.0,0.0,0,Дорогое,0.2595381526104418
Вино Chateau Canon,2013,Франция,Сухое,18990.0,0.0,0.0,0,Дорогое,
Вино Chateau Giscours,2013,Франция,Сухое,11490.0,4.7,4.0,1,Среднее,0.05714346748696915
Вино Chateau Lynch-Bages,2013,Франция,Сухое,26490.0,0.0,0.0,0,Дорогое,
"Вино Chianti Classico Gran Selezione Vigneto La Casuccia, Castello di Ama",2013,Италия,Сухое,64990.0,0.0,0.0,0,Дорогое,
"Вино Chianti Classico Gran Selezione Vigneto Bellavista, Castello di Ama",2013,Италия,Сухое,64990.0,4.0,0.0,0,Дорогое,0.40286144578313254
