Имя,Год,Страна,Сахар,Цена,Рейтинг,Количество отзывов
"Вино Clos des Cessieux, Herve Souhaut",2019.0,Франция,Сухое,8990.0,5.0,1.0
"Вино Sainte Epine, Herve Souhaut",2019.0,Франция,Сухое,9990.0,5.0,
Вино Noa White,2019.0,Армения,Сухое,2490.0,4.4,3.0
"Вино Hermitage Le Greal, Domaine Marc Sorrel",2019.0,Франция,Сухое,39990.0,0.0,
"Вино Volnay Premier Cru Les Caillerets, Domaine Jean-Marc & Thomas Bouley",2019.0,Франция,Сухое,28490.0,0.0,
"Вино Nebbiolo d'Alba, Bruno Giacosa",2019.0,Италия,Сухое,8950.0,0.0,
"Вино Bien Nacido Vineyard Chardonnay, Chanin Wine",2019.0,Соединенные Штаты Америки,Полусухое,12130.0,0.0,
Вино Chateau Rocheyron (Saint-Emilion Grand Cru),2019.0,Франция,Сухое,17490.0,4.0,
"Вино Boggina A, Petrolo",2019.0,Италия,Сухое,10490.0,0.0,
"Вино Boggina C Riserva, Petrolo",2019.0,Италия,Сухое,17990.0,0.0,
"Вино Boggina B, Petrolo",2019.0,Италия,Сухое,11490.0,0.0,
"Вино Ottantadue, Podere Il Carnasciale",2019.0,Италия,Сухое,5990.0,4.7,
"Вино Carnasciale, Podere Il Carnasciale",2019.0,Италия,Сухое,12490.0,3.0,2.0
"Вино Pinot Gris Moenchberg Grand Cru Le Moine, Domaine Marc Kreydenweiss",2019.0,Франция,Сухое,9990.0,0.0,
"Вино Riesling Kastelberg Grand Cru Le Chateau, Domaine Marc Kreydenweiss",2019.0,Франция,Сухое,11990.0,5.0,
"Вино Condado de Oriza Crianza, Pagos del Rey",2019.0,Испания,Сухое,1490.0,4.4,1.0
"Вино Rosso di Montalcino, Le Potazzine",2019.0,Италия,Сухое,7790.0,0.0,
"Вино Chenas Quartz, Domaines Dominique Piron",2019.0,Франция,Сухое,3790.0,5.0,
"Вино Riesling Wiebelsberg Grand Cru La Dame, Domaine Marc Kreydenweiss",2019.0,Франция,Сухое,8990.0,5.0,
"Вино Clos des Lambrays Grand Cru, Domaine des Lambrays",2019.0,Франция,Сухое,129990.0,5.0,
Вино Secco-Bertani Vintage Edition,2019.0,Италия,Сухое,3490.0,3.5,1.0
"Вино Saint-Aubin La Princee, Domaine Hubert Lamy",2019.0,Франция,Сухое,9790.0,5.0,
Вино Besini Qvevri Saperavi,2019.0,Грузия,Сухое,3290.0,4.4,5.0
"Вино Regnie, Domaine Guy Breton",2019.0,Франция,Сухое,5290.0,5.0,
"Вино Barbera d’Alba Superiore Donna Elena, Cascina delle Rose",2019.0,Италия,Сухое,5990.0,5.0,
"Вино Barbaresco Tre Stelle, Cascina delle Rose",2019.0,Италия,Сухое,12490.0,4.7,2.0
"Вино Petit Chablis, William Fevre",2019.0,Франция,Сухое,5490.0,0.0,
"Вино Gattinara, Travaglini",2019.0,Италия,Сухое,6190.0,4.8,6.0
"Вино Clos du Moulin, Thierry Germain",2019.0,Франция,Сухое,9490.0,5.0,
"Вино Leeu Passant Red, Mullineux & Leeu",2019.0,Южная Африка,Сухое,18490.0,0.0,
"Вино Granato, Foradori",2019.0,Италия,Сухое,11290.0,4.0,1.0
"Вино Marcillac Vieilles Vignes, Domain du Cros",2019.0,Франция,Сухое,2443.0,0.0,1.0
"Вино Beaujolais-Villages Marylou, Domaine Guy Breton",2019.0,Франция,Сухое,4290.0,4.3,1.0
"Вино Bourgogne Chardonnay Les Chataigners, Domaine Hubert Lamy",2019.0,Франция,Сухое,7790.0,0.0,
"Вино Raccontami, Vespa",2019.0,Италия,Полусухое,5990.0,5.0,
"Вино Granato, Foradori",2019.0,Италия,Сухое,11290.0,4.0,1.0
"Вино Montebruna, Braida",2019.0,Италия,Сухое,6290.0,5.0,1.0
"Вино Morey-Saint-Denis Premier Cru Clos Baulet, Domaine Hubert Lignier",2019.0,Франция,Сухое,22490.0,0.0,
"Вино Vosne-Romanee Premier Cru Les Suchots, Domaine Michel Noellat",2019.0,Франция,Сухое,24990.0,5.0,
"Вино Clos de Vougeot Grand Cru, Domaine Hubert Lignier",2019.0,Франция,Сухое,59990.0,0.0,
"Вино Saint-Joseph Terres d'Encre, Domaine Georges Vernay",2019.0,Франция,Сухое,11490.0,0.0,
"Вино Les Perrieres, Chateau Lafleur",2019.0,Франция,Сухое,12490.0,0.0,
"Вино Condrieu Les Chaillees de L'Enfer, Domaine Georges Vernay",2019.0,Франция,Сухое,22990.0,0.0,1.0
Вино Foradori,2019.0,Италия,Сухое,4490.0,4.4,3.0
"Вино Saint-Romain Rouge, Domaine Alain Gras",2019.0,Франция,Сухое,7490.0,5.0,
"Вино Gevrey-Chambertin Premier Cru Champeaux Tres Vieilles Vignes, Domaine Dugat-Py",2019.0,Франция,Сухое,67490.0,0.0,
"Вино Corton-Charlemagne Grand Cru Vieilles Vignes, Domaine Dugat-Py",2019.0,Франция,Сухое,97490.0,0.0,
Вино Chateau Carbonnieux Blanc,2019.0,Франция,Сухое,7590.0,4.7,2.0
"Вино Tonnerre de Gres, Domaine Curtet",2019.0,Франция,Сухое,6990.0,0.0,
"Вино Frisson des Cimes, Domaine Curtet",2019.0,Франция,Сухое,6990.0,4.0,1.0
"Вино Dos Caprichos Joven, Bodegas Faustino",2019.0,Испания,Сухое,1120.0,4.4,3.0
"Вино Max's Garden, Two Hands",2019.0,Австралия,Сухое,8990.0,5.0,
"Вино Bella’s Garden, Two Hands",2019.0,Австралия,Сухое,8990.0,4.8,6.0
"Вино Anjou Blanc, Thibaud Boudignon",2019.0,Франция,Сухое,7990.0,0.0,
Вино Лефкадия Сира,2019.0,Россия,Сухое,1990.0,0.0,
"Вино Chardonnay La Rinconada Vineyard, Tyler",2019.0,Соединенные Штаты Америки,Сухое,13490.0,0.0,
"Вино Kritt Pinot Blanc Les Charmes, Domaine Marc Kreydenweiss",2019.0,Франция,Полусухое,3990.0,4.5,3.0
"Вино Auxey-Duresses Blanc, Domaine Agnes Paquet",2019.0,Франция,Сухое,6490.0,0.0,
"Вино Chiroubles, Domaine Lafarge Vial",2019.0,Франция,Сухое,6490.0,5.0,
"Вино Chardonnay Salus, Staglin Family Vineyard",2019.0,Соединенные Штаты Америки,Сухое,11990.0,0.0,
"Вино Saint-Joseph Circa , Jean-Louis Chave",2019.0,Франция,Сухое,5290.0,5.0,1.0
"Вино Larionov Petit Verdot, Igor Larionov",2019.0,Соединенные Штаты Америки,Сухое,11190.0,5.0,1.0
"Вино Larionov Pinot Noir, Igor Larionov",2019.0,Соединенные Штаты Америки,Сухое,14990.0,5.0,1.0
"Вино Gevrey-Chambertin Premier Cru Combe aux Moines Vieille Vigne, Domaine Fourrier",2019.0,Франция,Сухое,49990.0,0.0,
"Вино Essencials Monastrell 9 Mesos, Can Leandro",2019.0,Испания,Сухое,2790.0,4.6,2.0
"Вино Pinotage The Winemasters, Nederburg",2019.0,Южная Африка,Полусухое,1490.0,4.9,3.0
"Вино Puligny-Montrachet Les Tremblots, Domaine Hubert Lamy",2019.0,Франция,Сухое,15490.0,0.0,
"Вино Amarone della Valpolicella Valpantena, Bertani",2019.0,Италия,Полусухое,9490.0,5.0,
"Вино Saint-Aubin Premier Cru Les Charmois, Domaine Paul Pillot",2019.0,Франция,Сухое,10490.0,5.0,
"Вино Chryseia, Prats & Symington",2019.0,Португалия,Сухое,13510.0,5.0,2.0
"Вино Maggiorina, Le Piane",2019.0,Италия,Сухое,4130.0,3.0,
"Вино Maurizio Zanella, Ca'Del Bosco",2019.0,Италия,Сухое,15990.0,5.0,
"Вино Chateauneuf-du-Pape Saintes Pierres de Nalys Blanc, Guigal",2019.0,Франция,Сухое,6494.0,5.0,
Вино Penfolds Bin 128 Coonawarra Shiraz,2019.0,Австралия,Сухое,6293.0,4.5,
"Вино Saint-Aubin Premier Cru Murgers des Dents de Chien Monopole, Armand Heitz",2019.0,Франция,Сухое,13990.0,0.0,
"Вино Chianti Classico Gran Selezione Vigna Gittori, Riecine",2019.0,Италия,Сухое,14990.0,0.0,
"Вино Saint-Romain Combe Bazin, Armand Heitz",2019.0,Франция,Сухое,7190.0,0.0,
Вино La Massa,2019.0,Италия,Сухое,6190.0,4.0,1.0
"Вино Savigny-les-Beaune Les Goudelettes, Domaine Antonin Guyon",2019.0,Франция,Сухое,9990.0,0.0,
"Вино Saint-Aubin Premier Cru Murgers des Dents de Chien Monopole, Armand Heitz",2019.0,Франция,Сухое,13990.0,0.0,
"Вино Meursault, Armand Heitz",2019.0,Франция,Сухое,12990.0,0.0,
"Вино Corton Grand Cru Chaumes, Armand Heitz",2019.0,Франция,Сухое,39990.0,0.0,
"Вино Las Iruelas , Daniel Landi",2019.0,Испания,Сухое,23490.0,0.0,
"Вино Corton Grand Cru Chaumes, Armand Heitz",2019.0,Франция,Сухое,39990.0,0.0,
"Вино Coleccion 125 Blanco, Bodegas Chivite",2019.0,Испания,Сухое,8990.0,0.0,
Вино Loco Cimbali Saperavi,2019.0,Россия,Сухое,1990.0,4.0,1.0
"Вино Villa de Corullon, Descendientes de Jose Palacios",2019.0,Испания,Сухое,8690.0,5.0,1.0
"Вино Meursault, Armand Heitz",2019.0,Франция,Сухое,12990.0,0.0,
"Вино Sainte Epine, Herve Souhaut",2019.0,Франция,Сухое,9990.0,5.0,
"Вино Barbaresco, Pio Cesare",2019.0,Италия,Сухое,11190.0,4.6,2.0
"Вино Barrua, Agricola Punica",2019.0,Италия,Сухое,7490.0,4.4,4.0
"Вино Sanford & Benedict Vineyard Pinot Noir, Chanin Wine",2019.0,Соединенные Штаты Америки,Полусухое,14990.0,4.0,
"Вино Amarone della Valpolicella Valpantena, Bertani",2019.0,Италия,Полусухое,8290.0,5.0,1.0
"Вино Pingus, Dominio de Pingus",2019.0,Испания,Сухое,184990.0,5.0,
"Вино Montesodi, Frescobaldi",2019.0,Италия,Сухое,8490.0,0.0,
"Вино Clos des Cessieux, Herve Souhaut",2019.0,Франция,Сухое,8990.0,5.0,1.0
Вино Chateau Smith Haut-Lafitte Blanc,2019.0,Франция,Сухое,26490.0,0.0,
"Вино Gran Reserva Carmenere, Santa Carolina",2019.0,Чили,Сухое,1790.0,3.5,1.0
"Вино Romio Sauvignon Blanc, Caviro",2020.0,Италия,Сухое,1240.0,4.5,5.0
"Вино Gevrey-Chambertin, Joseph Drouhin",2020.0,Франция,Сухое,13990.0,0.0,
"Вино Max Reserva Carmenere, Errazuriz",2020.0,Чили,Сухое,2990.0,4.6,4.0
"Вино Les Vieux Clos, Nicolas Joly",2020.0,Франция,Полусухое,9990.0,0.0,
"Вино Nuits-Saint-Georges, Joseph Drouhin",2020.0,Франция,Сухое,13990.0,0.0,
"Вино Clos de la Roche Grand Cru, Domaine Gerard Peirazeau & Fils",2020.0,Франция,Сухое,39990.0,0.0,
"Вино Clos Saint Denis Grand Cru, Domaine Gerard Peirazeau & Fils",2020.0,Франция,Сухое,39990.0,0.0,
"Вино Clos de la Coulee de Serrant, Nicolas Joly",2020.0,Франция,Полусухое,19990.0,0.0,
"Вино Belouve Rouge, Domaines Bunan",2020.0,Франция,Сухое,2373.0,4.3,
"Вино Roero Arneis Riserva Bricco delle Passere, Tibaldi",2020.0,Италия,Сухое,3490.0,3.0,1.0
"Вино Chassagne-Montrachet, Bouchard Pere & Fils",2020.0,Франция,Сухое,15990.0,5.0,1.0
"Вино Morogues Le Carroir, Domaine Pelle",2020.0,Франция,Сухое,4790.0,5.0,1.0
"Вино Saint-Romain Rouge, Domaine Alain Gras",2020.0,Франция,Сухое,8990.0,5.0,
"Вино Morgon La Chanaise, Domaines Dominique Piron",2020.0,Франция,Сухое,3390.0,4.0,1.0
"Вино Петрикор Алиготе, Шумринка",2020.0,Россия,Сухое,1790.0,4.7,2.0
Вино Besini Rose,2020.0,Грузия,Полусухое,990.0,4.7,2.0
"Вино Platbos, David & Nadia",2020.0,Южная Африка,Сухое,14490.0,0.0,
"Вино Skaliekop, David & Nadia",2020.0,Южная Африка,Сухое,14490.0,0.0,
"Вино Beaujolais Fleurie Clos Vernay , Domaine Lafarge Vial",2020.0,Франция,Сухое,8490.0,0.0,
"Вино Charmes-Chambertin Grand Cru, Domaine Gerard Peirazeau & Fils",2020.0,Франция,Сухое,44990.0,0.0,
"Вино Beaune Premier Cru Greves Vigne de l'Enfant Jesus, Bouchard Pere & Fils",2020.0,Франция,Сухое,37490.0,5.0,1.0
"Вино Saint-Romain Blanc , Domaine Alain Gras",2020.0,Франция,Сухое,8990.0,0.0,
"Вино Beaujolais Fleurie Clos Vernay , Domaine Lafarge Vial",2020.0,Франция,Сухое,8690.0,5.0,1.0
"Вино Kritt Pinot Blanc Les Charmes, Domaine Marc Kreydenweiss",2020.0,Франция,Полусухое,4140.0,4.5,3.0
"Вино Bourgogne Pinot Noir, Domaine Gerard Peirazeau & Fils",2020.0,Франция,Сухое,5490.0,0.0,
Вино Le Serre Nuove dell'Ornellaia,2020.0,Италия,Сухое,12490.0,5.0,2.0
"Вино Morey Saint Denis, Domaine Gerard Peirazeau & Fils",2020.0,Франция,Сухое,12990.0,0.0,
"Вино Auxey-Duresses Tres Vieilles Vignes, Domaine Alain Gras",2020.0,Франция,Сухое,11190.0,0.0,
Вино Bianco di Riecine,2020.0,Италия,Сухое,6990.0,0.0,
"Вино Flors di Uis, Vie di Romans",2020.0,Италия,Сухое,7190.0,3.0,
"Вино Bourgogne Chardonnay, Armand Heitz",2020.0,Франция,Сухое,4490.0,0.0,
"Вино Chambolle Musigny Premier Cru Les Amoureuses, Domaine Gerard Peirazeau & Fils",2020.0,Франция,Сухое,59990.0,0.0,
"Вино Beaune Premier Cru Clos des Mouches Blanc, Joseph Drouhin",2020.0,Франция,Сухое,34990.0,0.0,
"Вино Pouilly-Fuisse, Bouchard Pere & Fils",2020.0,Франция,Сухое,8290.0,5.0,1.0
"Вино Chablis Grand Cru Vaudesir, Jean-Marc Brocard (Domaine Sainte-Claire)",2020.0,Франция,Сухое,14990.0,0.0,
"Вино Morogues, Domaine Pelle",2020.0,Франция,Сухое,3990.0,4.6,3.0
"Вино Chateau de Villemajou Grand Vin Rouge, Gerard Bertrand",2020.0,Франция,Сухое,7290.0,0.0,
"Вино Tenuta Regaleali Lamuri, Tasca d'Almerita",2020.0,Италия,Сухое,3190.0,4.8,8.0
"Вино Porphyr Lagrein Riserva, Cantina Terlan",2020.0,Италия,Сухое,11990.0,5.0,1.0
"Вино Pinot Grigio Zuc di Volpe, Volpe Pasini",2020.0,Италия,Сухое,4990.0,4.0,1.0
"Вино Beaune Premier Cru Clos des Mouches Rouge, Joseph Drouhin",2020.0,Франция,Сухое,28490.0,0.0,
"Вино Puligny-Montrachet Premier Cru Champ Gain, Olivier Leflaive Freres",2020.0,Франция,Сухое,38490.0,5.0,
"Вино Barbera d'Alba Scarrone Vigna Vecchia, Vietti",2020.0,Италия,Сухое,11990.0,0.0,
"Вино Les Roches, Thierry Germain",2020.0,Франция,Сухое,4490.0,0.0,
"Вино Alma X: каберне совиньон, саперави, Alma Valley",2020.0,Россия,Сухое,1120.0,4.3,1.0
"Вино Hoe-Steen, David & Nadia",2020.0,Южная Африка,Сухое,14490.0,0.0,
"Вино Gran Reserva Cabernet Sauvignon, Santa Carolina",2020.0,Чили,Сухое,1790.0,4.0,1.0
"Вино Terres, Thierry Germain",2020.0,Франция,Сухое,13990.0,0.0,
"Вино Puligny-Montrachet, Bouchard Pere & Fils",2020.0,Франция,Сухое,19490.0,5.0,
"Вино Rosso di Montalcino, Le Potazzine",2020.0,Италия,Сухое,7790.0,0.0,
"Вино Barbera d'Asti la Crena, Vietti",2020.0,Италия,Сухое,9990.0,5.0,
"Вино Blauer Zweigelt, Anita & Hans Nittnaus",2020.0,Австрия,Сухое,2640.0,4.6,11.0
"Вино Pommard Premier Cru Clos des Poutures, Armand Heitz",2020.0,Франция,Сухое,18990.0,0.0,
"Вино Fuoripista Pinot Grigio, Foradori",2020.0,Италия,Сухое,7290.0,5.0,
"Вино Chambertin Clos de Beze Grand Cru, Domaine Gerard Peirazeau & Fils",2020.0,Франция,Сухое,74990.0,0.0,
"Вино Meursault Gruyaches, Armand Heitz",2020.0,Франция,Сухое,13490.0,5.0,
"Вино Elpidios, David & Nadia",2020.0,Южная Африка,Сухое,5690.0,0.0,
"Вино Meursault Premier Cru Perrieres, Armand Heitz",2020.0,Франция,Сухое,34990.0,0.0,
"Вино Sgarzon, Foradori",2020.0,Италия,Сухое,7290.0,0.0,
Вино Foradori,2020.0,Италия,Сухое,4490.0,4.4,3.0
"Вино Puligny-Montrachet, Joseph Drouhin",2020.0,Франция,Сухое,17490.0,5.0,1.0
"Вино Chassagne-Montrachet Premier Cru Morgeot Marquis de Laguiche, Joseph Drouhin",2020.0,Франция,Сухое,28990.0,5.0,
"Вино Volnay, Joseph Drouhin",2020.0,Франция,Сухое,11490.0,5.0,1.0
"Вино Saint-Joseph Blanc, Guigal",2020.0,Франция,Сухое,4219.0,4.0,
"Вино Julienas La Comb Vineuse, Armand Heitz",2020.0,Франция,Сухое,3990.0,0.0,
"Вино Beaune Premier Cru Boucherottes , Armand Heitz",2020.0,Франция,Сухое,13990.0,0.0,
"Вино Chablis Grand Cru Vaudesir, Joseph Drouhin",2020.0,Франция,Сухое,17990.0,0.0,
"Вино Cote de Beaune, Joseph Drouhin",2020.0,Франция,Сухое,10490.0,4.8,
"Вино Meursault, Joseph Drouhin",2020.0,Франция,Сухое,16490.0,5.0,
"Вино Pommard Premier Cru Pezerolles, Armand Heitz",2020.0,Франция,Сухое,18990.0,0.0,
"Вино Maggiorina, Le Piane",2020.0,Италия,Сухое,3790.0,3.0,
"Вино Pommard, Joseph Drouhin",2020.0,Франция,Сухое,13490.0,4.7,
"Вино Chablis Grand Cru Bougros, Joseph Drouhin",2020.0,Франция,Сухое,18490.0,5.0,
"Вино Chianti Classico, Conti Serristori",2020.0,Италия,Сухое,1990.0,4.6,4.0
"Вино Hito, Bodegas Cepa 21",2020.0,Испания,Сухое,2690.0,4.7,22.0
"Вино Sauvignon Blanc, Mantra",2020.0,Россия,Сухое,2190.0,5.0,
"Вино Tokaji Mandolas, Oremus",2020.0,Венгрия,Сухое,6190.0,4.5,8.0
"Вино Echezeaux Grand Cru, Domaine Michel Noellat",2020.0,Франция,Сухое,52490.0,0.0,
"Вино Vosne-Romanee Premier Cru Les Chaumes, Domaine Michel Noellat",2020.0,Франция,Сухое,27490.0,0.0,
"Вино Savigny-les-Beaune, Domaine Michel Noellat",2020.0,Франция,Сухое,7790.0,5.0,1.0
"Вино Sgarzon, Foradori",2020.0,Италия,Сухое,7290.0,0.0,
Вино Foradori,2020.0,Италия,Сухое,4490.0,4.4,3.0
"Вино Dea Vulcano, Donnafugata",2020.0,Италия,Сухое,3890.0,4.7,10.0
"Вино Langhe Chardonnay Piodilei, Pio Cesare",2020.0,Италия,Сухое,6490.0,5.0,3.0
"Вино La Souteronne, Herve Souhaut",2020.0,Франция,Сухое,5490.0,0.0,
"Вино Syrah, Herve Souhaut",2020.0,Франция,Сухое,5490.0,4.0,4.0
"Вино Domaine Romaneaux-Destezet, Herve Souhaut",2020.0,Франция,Сухое,5490.0,0.0,
"Вино Clos des Cessieux, Herve Souhaut",2020.0,Франция,Сухое,8990.0,5.0,1.0
"Вино Sainte Epine, Herve Souhaut",2020.0,Франция,Сухое,10490.0,5.0,
"Вино Morgon Cote du Py, Domaines Dominique Piron",2020.0,Франция,Сухое,4490.0,4.7,1.0
"Вино Barbera d`Alba Il Cerreto, Roberto Voerzio",2020.0,Италия,Сухое,8490.0,0.0,
"Вино Carolina Reserva Cabernet Sauvignon, Santa Carolina",2020.0,Чили,Сухое,1290.0,4.5,17.0
"Вино Primofiore, Giuseppe Quintarelli",2020.0,Италия,Сухое,12990.0,4.0,
"Вино Pouilly-Fuisse, Bouchard Pere & Fils",2020.0,Франция,Сухое,8290.0,5.0,1.0
"Вино Fuoripista Pinot Grigio, Foradori",2020.0,Италия,Сухое,7290.0,5.0,
Вино Poggio alle Gazze dell'Ornellaia,2020.0,Италия,Сухое,11490.0,5.0,1.0
"Вино Shiraz, Mantra",2020.0,Россия,Сухое,2190.0,3.7,8.0
"Вино Sancerre Blanc La Bourgeoise, Henri Bourgeois",2020.0,Франция,Сухое,6490.0,4.3,1.0
"Вино Romio Chianti, Caviro",2020.0,Италия,Сухое,1140.0,3.9,4.0
"Вино Camden Park Shiraz Grenache, Byrne Vineyards",2020.0,Австралия,Сухое,1120.0,4.5,3.0
"Вино Hospices de Beaune Premier Cru Cuvee Maurice Drouhin, Joseph Drouhin",2020.0,Франция,Сухое,27490.0,0.0,
"Вино Langhe Freisa, Vietti",2020.0,Италия,Сухое,3493.0,4.0,2.0
"Вино Beaune Clos du Dessus des Marconnets, Domaine Paul Pernot & Fils",2020.0,Франция,Сухое,9490.0,0.0,
"Вино Chateauneuf-du-Pape Vieux Telegraphe La Crau, Vignobles Brunier",2020.0,Франция,Сухое,15490.0,5.0,1.0
"Вино Bourgogne Pinot Noir, Armand Heitz",2020.0,Франция,Сухое,4490.0,0.0,
"Вино Bourgogne Cuvee Margot, Olivier Leflaive Freres",2020.0,Франция,Сухое,8490.0,5.0,2.0
"Вино Malleolus, Emilio Moro",2020.0,Испания,Сухое,7290.0,4.1,3.0
"Вино Charmes-Chambertin Grand Cru, Domaine Antonin Guyon",2020.0,Франция,Сухое,62490.0,0.0,
"Вино Granato, Foradori",2020.0,Италия,Сухое,12490.0,4.0,1.0
"Вино Moulin des Costes Charriage, Domaines Bunan",2020.0,Франция,Сухое,9990.0,5.0,1.0
"Вино Centine Rosso, Banfi",2020.0,Италия,Полусухое,1990.0,4.5,1.0
Вино Closerie Saint Roc Les Sureaux,2020.0,Франция,Сухое,13490.0,0.0,
Вино Closerie Saint Roc Les Pins,2020.0,Франция,Сухое,11990.0,0.0,
Вино Closerie Saint Roc Les Noyers,2020.0,Франция,Сухое,9990.0,0.0,
"Вино Puligny-Montrachet, Olivier Leflaive Freres",2020.0,Франция,Сухое,27990.0,4.5,
"Вино Beaune Clos de la Chaume Gaufriot, Domaine Antonin Guyon",2020.0,Франция,Сухое,9990.0,4.5,1.0
"Вино Puligny-Montrachet Premier Cru Champ Canet - Clos de la Jaquelotte, Domaine Paul Pernot & Fils",2020.0,Франция,Сухое,21490.0,0.0,
"Вино Puligny-Montrachet, Domaine Paul Pernot & Fils",2020.0,Франция,Сухое,13490.0,0.0,
"Вино Bourgogne, Domaine Paul Pernot & Fils",2020.0,Франция,Сухое,5690.0,0.0,
"Вино Pouilly-Fume La Vigne de Beaussoppet, Domaine Laporte",2020.0,Франция,Сухое,4990.0,0.0,
"Вино Nova Domus Riserva, Cantina Terlan",2020.0,Италия,Сухое,9490.0,0.0,
"Вино Pinot Bianco Riserva Vorberg, Cantina Terlan",2020.0,Италия,Сухое,6990.0,5.0,2.0
"Вино Auxey-Duresses Blanc, Domaine Agnes Paquet",2020.0,Франция,Сухое,6490.0,0.0,
"Вино Barco Reale di Carmignano, Capezzana",2020.0,Италия,Сухое,3290.0,5.0,
Вино Tenuta Frescobaldi di Castiglioni,2020.0,Италия,Сухое,3690.0,4.7,8.0
"Вино Nuits-Saint-Georges, Joseph Drouhin",2020.0,Франция,Сухое,13990.0,0.0,
"Вино Chablis Grand Cru Les Clos, Jean-Marc Brocard (Domaine Sainte-Claire)",2020.0,Франция,Сухое,18490.0,0.0,
"Вино Morey-Saint-Denis Premier Cru Les Sorbes, Domaine Michel Noellat",2020.0,Франция,Сухое,24490.0,0.0,
"Вино Каберне Совиньон Красная Горка, Галицкий и Галицкий",2020.0,Россия,Сухое,3490.0,4.6,7.0
"Вино Мерло Красная Горка, Галицкий и Галицкий",2020.0,Россия,Сухое,3490.0,4.6,14.0
"Вино Совиньон Блан Красная Горка, Галицкий и Галицкий",2020.0,Россия,Сухое,3490.0,4.5,15.0
"Вино Chianti Classico Ama, Castello di Ama",2020.0,Италия,Сухое,5690.0,5.0,1.0
"Вино Bin 45 Cabernet Sauvignon, Lindeman's",2020.0,Австралия,Полусухое,1640.0,4.0,3.0
"Вино Cabernet Sauvignon Valley Oaks, Fetzer",2020.0,Соединенные Штаты Америки,Полусухое,1490.0,4.5,37.0
"Вино Chardonnay Sundial, Fetzer",2020.0,Соединенные Штаты Америки,Полусухое,1043.0,4.4,38.0
"Вино Le Rose Giscours, Chateau Giscours",2020.0,Франция,Сухое,5190.0,0.0,
"Вино Rose, Domaine de l'Ile",2020.0,Франция,Сухое,3493.0,0.0,
"Вино White, Domaine de l'Ile",2020.0,Франция,Сухое,6490.0,0.0,
"Вино Sangiovese di Toscana, Conti Serristori",2020.0,Италия,Сухое,1140.0,4.4,5.0
"Вино Roero Arneis, Bruno Giacosa",2020.0,Италия,Сухое,5490.0,4.5,
"Вино Bourgogne Pinot Noir Laforet, Joseph Drouhin",2020.0,Франция,Сухое,4690.0,4.8,20.0
"Вино Chablis, Joseph Drouhin",2020.0,Франция,Сухое,6490.0,4.9,7.0
"Вино Chianti Classico, Banfi",2020.0,Италия,Сухое,1944.0,4.5,2.0
"Вино Sedara, Donnafugata",2020.0,Италия,Сухое,2018.0,4.5,20.0
"Вино Carolina Reserva Pinot Noir, Santa Carolina",2020.0,Чили,Сухое,903.0,4.4,28.0
"Вино Khvanchkara, Giuaani",2020.0,Грузия,Полусладкое,4490.0,5.0,2.0
"Вино Семисам Рислинг/Пино Блан, Шумринка",2020.0,Россия,Сухое,990.0,4.5,15.0
"Вино Chablis Grand Cru Les Blanchots, Jean-Marc Brocard (Domaine Sainte-Claire)",2020.0,Франция,Сухое,18990.0,0.0,
"Вино Merlot, Canti",2020.0,Италия,Сухое,1390.0,3.9,3.0
"Вино Blaufrankisch Classic, Hans Igler",2020.0,Австрия,Сухое,2690.0,4.1,3.0
"Вино Montagny Premier Cru, Joseph Drouhin",2020.0,Франция,Сухое,7490.0,5.0,2.0
"Вино Gevrey-Chambertin, Joseph Drouhin",2020.0,Франция,Сухое,13990.0,0.0,
"Вино ""Y"" d'Yquem, Chateau d'Yquem",2020.0,Франция,Полусухое,31990.0,5.0,
"Вино Chablis 7eme, Julien Brocard",2020.0,Франция,Сухое,7990.0,5.0,
"Вино Larionov Cabernet Sauvignon, Igor Larionov",2020.0,Австралия,Сухое,6990.0,5.0,1.0
"Вино Chateauneuf-du-Pape Clos La Roquete, Vignobles Brunier",2020.0,Франция,Сухое,9490.0,5.0,1.0
"Вино Bourgogne Chardonnay La Vignee, Bouchard Pere & Fils",2020.0,Франция,Сухое,5290.0,5.0,
"Вино Casa Albali Gran Seleccion, Felix Solis",2020.0,Испания,Полусухое,990.0,3.0,1.0
"Вино Chardonnay, Chacra",2020.0,Аргентина,Сухое,16490.0,0.0,
"Вино Chablis Grand Cru Bougros, Jean-Marc Brocard (Domaine Sainte-Claire)",2020.0,Франция,Сухое,14490.0,5.0,1.0
"Вино Rose de Loire, Thibaud Boudignon",2020.0,Франция,Сухое,4490.0,0.0,
"Вино Larionov Chardonnay, Igor Larionov",2020.0,Соединенные Штаты Америки,Сухое,14990.0,5.0,1.0
Вино Chateau Grand Village Blanc,2020.0,Франция,Сухое,3790.0,0.0,
"Вино Albente, Feudi di San Gregorio",2020.0,Италия,Сухое,1790.0,4.5,13.0
"Вино Leeu Passant Wellington, Mullineux & Leeu",2020.0,Южная Африка,Сухое,12490.0,0.0,
"Вино Leeu Passant Cabernet Sauvignon, Mullineux & Leeu",2020.0,Южная Африка,Сухое,6690.0,0.0,
"Вино Совиньон Блан Красная Горка, Галицкий и Галицкий",2020.0,Россия,Сухое,3490.0,4.5,15.0
"Вино Albente, Feudi di San Gregorio",2020.0,Италия,Сухое,1790.0,4.5,13.0
"Вино Campanaro, Feudi di San Gregorio",2020.0,Италия,Сухое,5490.0,5.0,
