Имя,Год,Страна,Сахар,Цена,Рейтинг,Количество отзывов
"Вино Monleale, Vigneti Massa",2011.0,Италия,Сухое,5690.0,5.0,1.0
Вино Chateau Palmer,2011.0,Франция,Сухое,72990.0,5.0,
Вино Chateau Suduiraut,2011.0,Франция,Сладкое,10990.0,5.0,
Вино Chateau Grand-Puy-Lacoste,2011.0,Франция,Сухое,12490.0,5.0,1.0
"Вино L’Hermitage Rouge, Jean-Louis Chave",2011.0,Франция,Сухое,124990.0,0.0,
Вино Chateau d'Issan,2011.0,Франция,Сухое,13790.0,0.0,
Вино Chateau Calon Segur,2011.0,Франция,Сухое,31490.0,5.0,1.0
"Вино Pingus, Dominio de Pingus",2011.0,Испания,Сухое,189990.0,5.0,
"Вино L'Ermita Velles Vinyes, Alvaro Palacios",2011.0,Испания,Сухое,184990.0,5.0,1.0
"Вино Pertichetta, Vigneti Massa",2012.0,Италия,Сухое,5690.0,5.0,3.0
"Вино Les Allees de Cantemerle, Chateau Cantemerle",2012.0,Франция,Сухое,3490.0,3.7,3.0
Вино Chateau Talbot,2012.0,Франция,Сухое,17990.0,5.0,1.0
Вино Chateau Calon Segur,2012.0,Франция,Сухое,33490.0,5.0,1.0
"Вино Barolo Riserva Monprivato Ca d'Morissio, Giuseppe Mascarello",2012.0,Италия,Сухое,139990.0,0.0,
Вино Chateau Montrose,2012.0,Франция,Сухое,22990.0,0.0,
Вино Chateau Rauzan-Segla,2012.0,Франция,Сухое,21490.0,5.0,
Вино Chateau d'Armailhac,2012.0,Франция,Сухое,14290.0,5.0,
Вино Chateau Rauzan-Segla,2012.0,Франция,Сухое,21490.0,5.0,
"Вино Galatrona, Petrolo",2012.0,Италия,Сухое,27990.0,5.0,3.0
Вино Chateau Cos d'Estournel Rouge,2012.0,Франция,Сухое,37990.0,5.0,1.0
"Вино Savigny-les-Beaune aux Grands Liards, Simon Bize & Fils",2012.0,Франция,Сухое,10490.0,0.0,
"Вино Ribolla, Gravner",2012.0,Италия,Сухое,18610.0,5.0,1.0
"Вино La Dame de Montrose, Chateau Montrose",2012.0,Франция,Сухое,7990.0,0.0,
Вино Chateau Cantemerle,2012.0,Франция,Сухое,6190.0,4.3,3.0
Вино Chateau du Tertre,2012.0,Франция,Сухое,10990.0,5.0,
Вино Chateau Ducru-Beaucaillou ,2012.0,Франция,Сухое,39490.0,5.0,
"Вино Savigny-les-Beaune Premier Cru Hospices de Beaune  Cuvee Forneret, Domaine Agnes Paquet",2012.0,Франция,Сухое,29990.0,0.0,
Вино Chateau Beychevelle,2012.0,Франция,Сухое,25990.0,0.0,
Вино Chateau Leoville Las Cases,2012.0,Франция,Сухое,54490.0,0.0,
"Вино La Dame de Montrose, Chateau Montrose",2012.0,Франция,Сухое,7990.0,0.0,
Вино Chateau Montrose,2012.0,Франция,Сухое,22990.0,0.0,
Вино Chateau Pichon Baron,2012.0,Франция,Сухое,37990.0,0.0,
Вино Chateau du Tertre,2012.0,Франция,Сухое,10990.0,5.0,
Вино Chateau Troplong Mondot,2012.0,Франция,Сухое,23490.0,0.0,
Вино Chateau La Fleur-Petrus,2012.0,Франция,Сухое,52490.0,5.0,
Вино Chateau Canon,2013.0,Франция,Сухое,18990.0,0.0,
Вино Chateau Giscours,2013.0,Франция,Сухое,11490.0,4.7,4.0
Вино Chateau Lynch-Bages,2013.0,Франция,Сухое,26490.0,0.0,
"Вино Chianti Classico Gran Selezione Vigneto La Casuccia, Castello di Ama",2013.0,Италия,Сухое,64990.0,0.0,
"Вино Chianti Classico Gran Selezione Vigneto Bellavista, Castello di Ama",2013.0,Италия,Сухое,64990.0,4.0,
"Вино L`Apparita, Castello di Ama",2013.0,Италия,Сухое,64990.0,5.0,1.0
"Вино Mille e Una Notte, Donnafugata",2013.0,Италия,Сухое,12019.0,0.0,
"Вино Don Maximiano Founder's Reserve, Errazuriz",2013.0,Чили,Сухое,16490.0,0.0,
"Вино Savigny-les-Beaune 1er Cru aux Vergelesses  Blanc, Simon Bize & Fils",2013.0,Франция,Сухое,14990.0,0.0,
"Вино Clos Vougeot Grand Cru, Bouchard Pere & Fils",2013.0,Франция,Сухое,64990.0,0.0,
"Вино Clos de la Coulee de Serrant, Nicolas Joly",2013.0,Франция,Сухое,27990.0,0.0,
"Вино Amarone della Valpolicella, Dal Forno Romano",2013.0,Италия,Сухое,64990.0,0.0,
"Вино Ribolla, Gravner",2013.0,Италия,Сухое,15990.0,5.0,1.0
Вино Chateau Latour,2013.0,Франция,Сухое,129990.0,5.0,1.0
Вино Le Serre Nuove dell'Ornellaia,2013.0,Италия,Сухое,19990.0,0.0,
"Вино Serpico, Feudi di San Gregorio",2014.0,Италия,Сухое,11190.0,5.0,1.0
Вино Chateau Quintus,2014.0,Франция,Сухое,21490.0,0.0,
Вино Chateau Belair Monange,2014.0,Франция,Сухое,28490.0,0.0,
"Вино Ribolla, Gravner",2014.0,Италия,Сухое,17490.0,5.0,1.0
Вино Finca Nueva Reserva,2014.0,Испания,Сухое,3690.0,4.7,4.0
"Вино L`Apparita, Castello di Ama",2014.0,Италия,Сухое,54990.0,5.0,1.0
"Вино L’Hermitage Rouge, Jean-Louis Chave",2014.0,Франция,Сухое,114990.0,0.0,
Вино Chateau d'Armailhac,2014.0,Франция,Сухое,14690.0,5.0,
Вино Chateau-Grillet,2014.0,Франция,Сухое,86930.0,5.0,
Вино Chateau L'Evangile,2014.0,Франция,Сухое,44990.0,5.0,
Вино Chateau Pedesclaux,2014.0,Франция,Сухое,9190.0,5.0,
Вино Chateau Lynch-Bages,2014.0,Франция,Сухое,28490.0,0.0,
"Вино Serpico, Feudi di San Gregorio",2014.0,Италия,Сухое,11190.0,5.0,1.0
Вино Chateau Lalande-Borie,2014.0,Франция,Сухое,6490.0,5.0,1.0
Вино Chateau Carbonnieux Rouge,2014.0,Франция,Сухое,7590.0,5.0,5.0
"Вино Barolo Cerequio, Roberto Voerzio",2014.0,Италия,Сухое,69990.0,0.0,
Вино Le Serre Nuove dell'Ornellaia,2014.0,Италия,Сухое,19990.0,0.0,
"Вино L’Hermitage Rouge, Jean-Louis Chave",2014.0,Франция,Сухое,114990.0,0.0,
Вино Chateau Talbot,2014.0,Франция,Сухое,17490.0,5.0,1.0
"Вино La Clarte de Haut-Brion, Chateau Haut-Brion",2014.0,Франция,Сухое,18990.0,5.0,
Вино Chateau Pichon Baron,2014.0,Франция,Сухое,37990.0,0.0,
Вино Chateau Angludet,2014.0,Франция,Сухое,9990.0,5.0,
"Вино Flor de Pingus, Dominio de Pingus",2014.0,Испания,Сухое,37490.0,5.0,
"Вино Moulin-a-Vent Chassignol, Domaine Jules Desjourneys",2014.0,Франция,Сухое,15990.0,0.0,
Вино Tenuta di Valgiano,2014.0,Италия,Сухое,14990.0,0.0,
"Вино Les Fiefs de Lagrange, Chateau Lagrange",2014.0,Франция,Сухое,5990.0,0.0,
"Вино Chambolle-Musigny, Leroy",2014.0,Франция,Сухое,324990.0,0.0,
